,Job,Company,Location,Salary,Date,Education,Experience,Type,Scope,Detail,Url
0,高级爬虫工程师,上海清赟医药科技有限公司,上海-长宁区,1.3-1.8万/月,4月26日,大专,5-7年,合资,150-500人,1、负责各类网站和App端数据抓取和平台搭建； 2、负责对爬取数据进行分类和解析，及爬取数据后台存储的设计； 3、负责爬虫项目的架构设计、研发、编程工作，改进和提升爬虫效率； 4、设计爬虫策略和防屏蔽规则，提升网页及APP抓取的效率和质量； 任职要求： 1、3年+爬虫经验，熟练掌握Python语言； 2、熟悉PC端、移动端数据抓取（有逆向、脱壳等经验），掌握Apktool、Dex2jar、JD-GUI等工具，抓取过主流App软件经验； 3、熟悉目前主流的爬虫框架，有解决复杂的反爬限制实践经验，能解决如图片验证码/滑块/账号限制/ip限制等问题； 4.具备丰富的逆向工程经验，尤其在Android、iOS平台的逆向工程经验。有成功逆向过复杂软件数据结构、功能、算法的经历； 5、性格开朗、善于沟通，有良好的自我驱动学习能力，注重效率和团队意识；,https://jobs.51job.com/shanghai-cnq/128919970.html?s=02
1,爬虫软件开发工程师,上海阿米特数据系统有限公司,武汉,1-1.5万/月,4月26日,大专,3-4年,合资,少于50人,爬虫软件开发工程师职位描述：岗位职责：1、负责多平台信息爬取和页面内容的提取分析；2、优化抓取策略，充分利用带宽资源，避免限制；3、分析爬虫程序的技术缺陷，对策略架构做出合理地调整和改进；4、监控爬取速度，及时发现爬取过程中出现的问题，并尽快找出解决方案。5、带领团队负责多平台信息抓取软件开发和维护.任职要求：1、大学本科（含）以上，计算机及相关专业毕业；2、实际爬虫开发、内容提取工作经验；3、精通Python或更高版本；4、精通网页抓取原理及技术；5、熟练Linux命令、脚本编写，熟悉sql语言者优先；6、有过海量数据爬取经验者优先；7、能独立解决实际开发过程碰到的各类问题。,https://jobs.51job.com/wuhan/123845344.html?s=02
2,阿里UC—爬虫及前端开发,杭州博彦信息技术有限公司,杭州-西湖区,0.9-1.3万/月,4月26日,大专,2年,民营公司,150-500人,该岗位是由博彦科技人员外包到阿里UC神马搜索的爬虫及前端开发岗位。学历要求学信网可查。【岗位职责】1.参与UC各业务的爬虫开发，包括爬虫逻辑配置、结构化抽取配置、app逆向分析等2.参与包括爬虫在内的各业务平台的前端功能开发与优化【岗位要求】1、熟悉html5、js、css3等有网页基础知识2、对react或vue实现机制、Webpack构建、前端环境搭建/部署、ES6/ES7等有一定了解3、有python或其他脚本的基本开发经验4、有app接口和逆向分析经验的优先考虑5、有pyspider、scrapy等爬虫开发经验的优先考虑,https://jobs.51job.com/hangzhou-xhq/131375847.html?s=02
3,爬虫开发工程师,深圳市墨者安全科技有限公司,深圳-南山区,1-2万/月,4月26日,大专,3-4年,民营公司,50-150人,岗位职责：1.参与公司数据采集与分析项目工作；2.参与数据采集与分析代码编写、单元测试和bug修复工作；3.根据产品和项目情况，优化及维护代码；4.根据产品开发规范，完成相关技术文档编写；任职要求：1、计算机或相关专业毕业，学信网可查全日制大专或以上学历；2、2-5年以上的爬虫项目经验；3、参与爬虫项目的架构设计、研发、编程工作，改进和提升爬虫效率；4、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；5、负责后台爬虫数据的分布式存储设计以及代码实现；6、负责网页采集任务的分析及采集方案设计；7、负责分布式爬虫策略持续优化；,https://jobs.51job.com/shenzhen-nsq/126721088.html?s=02
4,爬虫开发工程师,睿哲科技股份有限公司,广州-天河区,0.9-1.5万/月,4月26日,本科,2年,民营公司,50-150人,"岗位要求：1、负责数据采集软件、网络爬虫的研发与应用；2、负责网络爬虫或数据采集软件的优化改进以及采集规则编写；3、攻克海量网页抓取、信息精准抽取等搜索核心技术难题，构建高可用性、高可扩展性的消费决策平台网络信息搜集的基础服务平台。任职资格：1、两年或以上相关python开发经验，熟悉爬虫框架和工具：pyspider,scrapy和Selenium；2、熟悉Linux/Unix开发经验，熟悉多线程、网络编程，熟悉python常用后端技术栈（如flask、django、cherrypy等）；3、熟练掌握TCP/HTTP协议、Html/Js/Css、Ajax等技术，了解抓包工具：wireshark、tcpdump；4、了解MySQL/Redis等数据库；5、熟练git等代码管理工具；6、全日制本科或以上学历，有Python进行数据分析工作经验优先；7、具有团队精神和创新精神，认同公司理念，敢于挑战自我。福利待遇：1、工作时间：五天工作制，周六日双休；2、带薪假期：享受国家法定节假日、婚假、产假（陪）、病假、丧假、年假等；3、福利待遇：五险一金，午餐补贴，具有竞争力的薪酬，年底双薪；4、节假贺礼：重大节日礼品/礼金；5、公司活动：定期组织文体活动、聚餐活动；6、企业培训及职业发展：新员工入职培训、部门培训、职能培训，广阔的职业发展平台。",https://jobs.51job.com/guangzhou-thq/130579544.html?s=02
5,Python爬虫工程师,云润大数据服务有限公司,广州-天河区,0.7-1.4万/月,4月26日,本科,3-4年,民营公司,150-500人,岗位职责：1、负责分布式网络爬虫系统及数据库的设计与开发2、设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码等难点3、维护和优化已有的爬虫服务4、负责爬虫核心算法的策略优化研究，充分利用资源，提升网页抓取的效率和质量任职要求：1、全日制统招本科及以上学历，计算机相关专业2、熟练使用Python等多种语言，有良好的编码习惯3、熟悉Linux操作系统，熟练使用Linux系统环境配置、编译4、熟悉一种常用数据库：Mysql/MongDB/Redis5、编程思维严谨，具有开发安全意识6、具备良好的分析解决能力，良好的自我驱动能力，能独立承担爬虫开发任务7、熟悉网络请求协议原理8、熟悉HTTP协议，精通爬虫相关技术，如：httpClient/jSoup/xpath/正则表达式/验证加密处理/代理池等9、熟悉各类验证码绕过机制，具有JS逆向能力，熟悉各类JS混淆代码还原方法10、熟悉客户端的数据抓取技术，了解安卓逆向经验者优先,https://jobs.51job.com/guangzhou-thq/121062935.html?s=02
6,Python爬虫开发工程师,广州铂锐盛途科技有限公司,广州-天河区,1.3-1.9万/月,4月26日,大专,3-4年,民营公司,少于50人,岗位职责：1、负责搭建以及维护爬虫系统的设计和核心模块的实现2、负责爬虫技术难点的攻克3、项目管理和人员指导工作任职要求：1、熟悉Python开发语言，3年及以上爬虫开发经验2、熟悉Redis、Mysql、MongoDB等常用的数据库；3、具有爬虫分布式系统设计和开发经验，有大规模和实时爬虫的经历；4、精通爬取的各类实现方式和技术细节，包含网络协议分析、JS逆向、APP逆向等；5、能对目前主流APP数据进行抓取，有抖音，头条，小红书爬虫经验者优先6、善于沟通，要有团队合作精神，能承受一定强度的工作压力。7、熟悉软件工程，具有项目管理经验，有带过团队经验的优先。,https://jobs.51job.com/guangzhou-thq/131360011.html?s=02
7,爬虫工程师,信必优(深圳)信息技术有限公司,深圳-南山区,1.5-2.2万/月,4月26日,大专,3-4年,外资（欧美）,1000-5000人,"岗位职责：.负责抓取网站数据，分析链接，转码等；2.负责维护抓取程序的监控和报警，并且快速修复问题；3.负责和业务沟通抓取需求，满足业务的发展需求。4.负责和业务的服务器端开发配合，设计比较灵活的爬取架构，满足业务的爬取需求；任职资格:1.大专及以上学历；2.扎实的编程能力，熟悉算法和数据结构，熟悉计算机的基础理论；3.有强烈上进心，自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越；4.工作细致、责任心强，具备较强的学习能力及理解能力，有良好的沟通能力和团队协作能力；5.理解http，熟悉html,DOM,xpath,scrapy优先；6.有爬虫、信息抽取、文本分类相关经验者优先。",https://jobs.51job.com/shenzhen-nsq/131353748.html?s=02
8,爬虫开发工程师,四衡商务信息咨询（上海）有限公司,上海-浦东新区,1-1.5万/月,4月26日,本科,2年,民营公司,500-1000人,职位描述：1、使用Python和Java和浏览器Driver来分析和爬取外部网站公开的数据，如商品详情与价格；2、处理、分析、加工爬取的数据；3、负责分布式爬虫系统架构和数据存储设计和实现。4、建立完整的数据获取、解析、入库和监控流程，并不断优化迭代完善。5、保证数据的完整性和准确性，保障数据采集的稳定性。职位要求：1、本科以上学历，条理清晰、逻辑分析能力强、沟通表达能力和项目管理能力好；2、有数据爬取和分析的工作经验；3、熟悉成熟的爬虫技术和开发框架；4、熟悉Python，Java，JavaScript，HTML5页面等开发语言，和熟悉MySQL数据库；5、熟悉多线程开发技术；6、具有强烈的责任心和上进心，积极主动，能承受较大的工作压力。,https://jobs.51job.com/shanghai-pdxq/131362108.html?s=02
9,爬虫工程师,安徽汉风环境科技有限公司,合肥-滨湖新区,0.6-1.2万/月,4月26日,,1年,民营公司,少于50人,一、岗位职责：1、数据资料的抓取、解析、清洗及入库；2、搭建并维护自动化爬虫系统；3、持续优化爬虫系统并提高其稳定性；二、任职要求：1、计算机相关专业；2、熟练掌握使用Java或python一种开发语言，熟练掌握使用正则表达式；熟悉常用爬虫框架，熟悉xPath、javascript、HTML、CSS等技术。3、熟悉抓包分析请求及模拟；熟悉mysql、Hbase、redis等数据库操作；4、具备团队协作能力，积极主动。加分项：1、有三年以上爬虫及反爬虫工作经验；2、有技术探索欲望。,https://jobs.51job.com/hefei-bhxq/130653301.html?s=02
10,爬虫开发工程师,上海溯因智能科技有限责任公司,上海-闵行区,1.5-3万/月,4月26日,本科,2年,民营公司,少于50人,岗位职责：1、 参与网络信息搜集方向的研究与开发；2、 负责网络爬虫系统的开发，包括文本处理、数据清洗、数据聚类等；3、 负责爬虫系统架构的维护、优化，以及数据存储的相关设计；4、 负责搭建实时爬虫框架。任职要求：1、 熟悉HTTP/HTTPS通讯协议，熟悉主流的HTML页面元素构成及JSON接口。2、 有至少2年以上爬虫领域的项目开发经验，熟悉主流的爬虫技术，了解常见的爬虫封锁机制及应对方案，例如谷歌验证、IP池等。3、 具有大型分布式系统的架构设计和性能优化经验。4、 有python开发经验优先。5、 有电商平台爬虫经验优先。,https://jobs.51job.com/shanghai-mhq/130699493.html?s=02
11,Python爬虫,梅花网,上海,1-1.5万/月,4月26日,大专,2年,民营公司,50-150人,岗位职责：1、参与公司分布式爬虫系统架构的开发维护；2、负责网页/App端信息抽取、数据清洗、入库、服务化等研发和优化工作；3、参与研究优化爬虫算法，提升爬虫系统的稳定性、可扩展性；4、对于APP的反编译、逆向分析、脱壳、加密参数破解、抓取攻防有浓厚兴趣。任职要求：1、计算机相关专业专科及以上学历，2年以上爬虫经验；2、掌握至少一种开发语言Java/Python，熟练使用scrapy框架；3、熟悉TCP/IP，HTTP及相关网络协议；4、对分布式、多线程、缓存、消息队列等常用互联网技术有一定了解或应用；优先条件：1、熟悉APP安全及逆向、JavaScript逆向、图像识别技术、WebKit或其他浏览器引擎、有相关经验者优先考虑2、有大厂app采集经验者优先，如主流社交\短视频\点评\电商类平台等,https://jobs.51job.com/shanghai/131047555.html?s=02
12,爬虫开发工程师,广州素隐商贸有限公司,广州-海珠区,0.8-1.5万/月,4月26日,大专,1年,民营公司,150-500人,1.负责设计和开发通用爬虫脚本，提取分析各种平台页面内容；2.研究对接平台api接，主导搭建开发系统的数据框架，为业务发展提供数据支持；3.负责处理供应链及财务端数据的需求及项目中涉及的数据库、数据接口等维护工作。 任职要求：1、计算机及相关专业、有1年相关爬虫及数据处理项目经验优先，优秀应届生也可考虑；2、精通python、计算机网络，熟练使用多线程，熟悉Scrapy等常用爬虫框架；3、对数据敏感，有较强的逻辑分析能力以及业务理解能力；4、熟悉电商业务，对电商数据有一定了解。,https://jobs.51job.com/guangzhou-hzq/122632102.html?s=02
13,中级爬虫工程师,广州大麦信息科技有限公司,广州-天河区,1.5-2万/月,4月26日,本科,2年,民营公司,150-500人,职位描述-根据业务需求，负责设计和开发分布式网络爬虫系统，并进行清洗提取；-设计爬虫策略和防屏蔽规则，提升网页爬取的效率和质量；-能独立解决实际开发过程中遇到的各类问题；任职资格-计算机相关专业，本科以上学历，2年以上爬虫开发经验；-熟悉Python、计算机网络，熟悉使用多线程，熟悉Scrapy等常用爬虫框架；-熟悉Linux操作、正则表达式、Mysql、MongoDB、Redis等常用数据库及缓存；-能解决封账号、封IP、验证码识别、图像识别等问题；-具有良好的沟通能力和团队合作意识,https://jobs.51job.com/guangzhou-thq/128053516.html?s=02
